date;category;sales
2022-02-02;MA030;4223
2022-02-02;MA031;5052
2022-02-02;MA032;3721
2022-02-02;MA033;13193
2022-02-02;MA037;24463
2022-02-02;MA039;36205
2022-02-02;MA040;12759
2022-02-02;MA041;44723
2022-02-02;MA042;18117
2022-02-02;MA043;18798
2022-02-02;MA044;2178
2022-02-02;MA045;28806
2022-02-02;MA046;45588
2022-02-02;MA047;28451
2022-02-02;MA048;27262
2022-02-02;MA049;35039
2022-02-02;MA050;15651
2022-02-02;MA051;12605
2022-02-02;MA052;23020
2022-02-02;MA053;24134
2022-02-02;MA054;34160
2022-02-02;MA055;13094
2022-02-02;MA056;11694
2022-02-02;MA057;13957
2022-02-02;MA058;4088
2022-02-02;MA059;24168
2022-02-02;MA061;16653
2022-02-02;MA062;19792
2022-02-02;MA063;19586
2022-02-02;MA064;40394
2022-02-02;MA065;41165
2022-02-02;MA066;4446
2022-02-02;MA067;19359
2022-02-02;MA068;41540
2022-02-02;MA069;39773
2022-02-02;MA070;40764
2022-02-02;MA071;45465
2022-02-02;MA072;26005
2022-02-02;MA073;9381
2022-02-02;MA076;14900
2022-02-02;MA077;3425
2022-02-02;MA078;31648
2022-02-03;MA002;43246
2022-02-03;MA004;37199
2022-02-03;MA005;13821
2022-02-03;MA007;42757
2022-02-03;MA009;13332
2022-02-03;MA010;3976
2022-02-03;MA011;15113
2022-02-03;MA014;5409
2022-02-03;MA015;2654
2022-02-03;MA017;39922
2022-02-03;MA019;1743
2022-02-03;MA020;21436
2022-02-03;MA021;15617
2022-02-03;MA022;48238
2022-02-03;MA025;6441
2022-02-03;MA026;28998
2022-02-03;MA029;8163
2022-02-03;MA030;49342
2022-02-03;MA031;12895
2022-02-03;MA032;15846
2022-02-03;MA033;49388
2022-02-03;MA037;31919
2022-02-03;MA039;648
2022-02-03;MA040;11429
2022-02-03;MA041;2500
2022-02-03;MA042;28700
2022-02-03;MA043;38679
2022-02-03;MA044;4152
2022-02-03;MA045;30440
2022-02-03;MA046;2877
2022-02-03;MA047;28850
2022-02-03;MA048;2869
2022-02-03;MA049;31139
2022-02-03;MA050;21922
2022-02-03;MA051;46988
2022-02-03;MA052;47608
2022-02-03;MA053;47402
2022-02-03;MA054;11647
2022-02-03;MA055;9215
2022-02-03;MA056;44543
2022-02-03;MA057;10286
2022-02-03;MA058;34122
2022-02-03;MA059;48018
2022-02-03;MA061;47290
2022-02-03;MA062;25331
2022-02-03;MA063;32179
2022-02-03;MA064;27799
2022-02-03;MA065;48898
2022-02-03;MA066;46803
2022-02-03;MA067;11798
2022-02-03;MA068;27945
2022-02-03;MA069;19571
2022-02-03;MA070;10236
2022-02-03;MA071;4165
2022-02-03;MA072;16572
2022-02-03;MA073;24446
2022-02-03;MA076;774
2022-02-03;MA077;11604
2022-02-03;MA078;21757
2022-02-04;MA002;25465
2022-02-04;MA004;21362
2022-02-04;MA005;8618
2022-02-04;MA007;9970
2022-02-04;MA009;13873
2022-02-04;MA010;992
2022-02-04;MA011;32672
2022-02-04;MA014;3537
2022-02-04;MA015;42847
2022-02-04;MA017;30325
2022-02-04;MA019;9869
2022-02-04;MA020;31809
2022-02-04;MA021;20730
2022-02-04;MA022;41720
2022-02-04;MA025;48718
2022-02-04;MA026;36680
2022-02-04;MA029;30066
2022-02-04;MA030;10908
2022-02-04;MA031;4241
2022-02-04;MA032;1295
2022-02-04;MA033;29653
2022-02-04;MA037;46366
2022-02-04;MA039;45791
2022-02-04;MA040;35173
2022-02-04;MA041;13663
2022-02-04;MA042;37353
2022-02-04;MA043;22604
2022-02-04;MA044;31719
2022-02-04;MA045;13663
2022-02-04;MA046;8665
2022-02-04;MA047;6412
2022-02-04;MA048;5774
2022-02-04;MA049;40154
2022-02-04;MA050;39238
2022-02-04;MA051;47681
2022-02-04;MA052;33663
2022-02-04;MA053;48775
2022-02-04;MA054;24332
2022-02-04;MA055;32885
2022-02-04;MA056;26500
2022-02-04;MA057;31223
2022-02-04;MA058;47635
2022-02-04;MA059;47586
2022-02-04;MA061;31044
2022-02-04;MA062;4367
2022-02-04;MA063;22835
2022-02-04;MA064;36986
2022-02-04;MA065;46925
2022-02-04;MA066;12294
2022-02-04;MA067;48036
2022-02-04;MA068;29713
2022-02-04;MA069;21972
2022-02-04;MA070;42619
2022-02-04;MA071;45073
2022-02-04;MA072;28154
2022-02-04;MA073;28766
2022-02-04;MA076;43545
2022-02-04;MA077;32289
2022-02-04;MA078;21770
2022-02-05;MA002;8832
2022-02-05;MA004;28593
2022-02-05;MA005;17262
2022-02-05;MA007;11240
2022-02-05;MA009;42270
2022-02-05;MA010;19540
2022-02-05;MA011;7127
2022-02-05;MA014;49703
2022-02-05;MA015;20599
2022-02-05;MA017;43768
2022-02-05;MA019;11674
2022-02-05;MA020;40601
2022-02-05;MA021;3932
2022-02-05;MA022;8211
2022-02-05;MA025;44054
2022-02-05;MA026;16421
2022-02-05;MA029;45994
2022-02-05;MA030;44610
2022-02-05;MA031;41530
2022-02-05;MA032;7707
2022-02-05;MA033;23807
2022-02-05;MA037;24282
2022-02-05;MA039;6487
2022-02-05;MA040;37063
2022-02-05;MA041;40076
2022-02-05;MA042;17037
2022-02-05;MA043;16605
2022-02-05;MA044;23360
2022-02-05;MA045;47366
2022-02-05;MA046;30027
2022-02-05;MA047;31575
2022-02-05;MA048;44861
2022-02-05;MA049;16045
2022-02-05;MA050;21233
2022-02-05;MA051;46519
2022-02-05;MA052;43547
2022-02-05;MA053;25043
2022-02-05;MA054;39714
2022-02-05;MA055;4551
2022-02-05;MA056;4728
2022-02-05;MA057;41215
2022-02-05;MA058;37093
2022-02-05;MA059;13567
2022-02-05;MA061;23357
2022-02-05;MA062;24691
2022-02-05;MA063;1566
2022-02-05;MA064;30139
2022-02-05;MA065;43070
2022-02-05;MA066;21785
2022-02-05;MA067;49111
2022-02-05;MA068;2347
2022-02-05;MA069;31221
2022-02-05;MA070;38128
2022-02-05;MA071;34521
2022-02-05;MA072;36512
2022-02-05;MA073;45500
2022-02-05;MA076;36921
2022-02-05;MA077;20178
2022-02-05;MA078;21364
2022-02-06;MA002;8678
2022-02-06;MA004;28054
2022-02-06;MA005;25930
2022-02-06;MA007;25704
2022-02-06;MA009;38730
2022-02-06;MA010;41045
2022-02-06;MA011;40657
2022-02-06;MA014;41275
2022-02-06;MA015;7778
2022-02-06;MA017;35643
2022-02-06;MA019;22369
2022-02-06;MA020;22679
2022-02-06;MA021;31019
2022-02-06;MA022;45866
2022-02-06;MA025;14874
2022-02-06;MA026;5431
2022-02-06;MA029;24242
2022-02-06;MA030;18518
2022-02-06;MA031;44560
2022-02-06;MA032;4977
2022-02-06;MA033;49448
2022-02-06;MA037;7626
2022-02-06;MA039;37644
2022-02-06;MA040;12265
2022-02-06;MA041;47563
2022-02-06;MA042;1687
2022-02-06;MA043;31543
2022-02-06;MA044;45779
2022-02-06;MA045;44235
2022-02-06;MA046;20553
2022-02-06;MA047;13699
2022-02-06;MA048;8755
2022-02-06;MA049;11890
2022-02-06;MA050;45069
2022-02-06;MA051;27190
2022-02-06;MA052;38962
2022-02-06;MA053;25577
2022-02-06;MA054;48814
2022-02-06;MA055;5823
2022-02-06;MA056;9111
2022-02-06;MA057;22946
2022-02-06;MA058;12793
2022-02-06;MA059;10679
2022-02-06;MA061;42553
2022-02-06;MA062;2610
2022-02-06;MA063;43905
2022-02-06;MA064;19617
2022-02-06;MA065;44673
2022-02-06;MA066;6954
2022-02-06;MA067;41007
2022-02-06;MA068;40721
2022-02-06;MA069;14763
2022-02-06;MA070;19649
2022-02-06;MA071;18970
2022-02-06;MA072;12713
2022-02-06;MA073;21060
2022-02-06;MA076;29459
2022-02-06;MA077;2673
2022-02-06;MA078;34520
2022-02-07;MA002;47261
2022-02-07;MA004;32288
2022-02-07;MA005;19288
2022-02-07;MA007;32772
2022-02-07;MA009;8203
2022-02-07;MA010;7306
2022-02-07;MA011;18337
2022-02-07;MA014;20154
2022-02-07;MA015;19125
2022-02-07;MA017;22824
2022-02-07;MA019;47187
2022-02-07;MA020;14134
2022-02-07;MA021;39457
2022-02-07;MA022;5886
2022-02-07;MA025;39986
2022-02-07;MA026;37862
2022-02-07;MA029;6687
2022-02-07;MA030;35569
2022-02-07;MA031;34537
2022-02-07;MA032;20559
2022-02-07;MA033;8731
2022-02-07;MA037;16864
2022-02-07;MA039;44362
2022-02-07;MA040;40701
2022-02-07;MA041;20897
2022-02-07;MA042;20375
2022-02-07;MA043;17247
2022-02-07;MA044;10522
2022-02-07;MA045;20600
2022-02-07;MA046;44005
2022-02-07;MA047;39667
2022-02-07;MA048;6731
2022-02-07;MA049;49801
2022-02-07;MA050;35128
2022-02-07;MA051;39673
2022-02-07;MA052;22601
2022-02-07;MA053;8855
2022-02-07;MA054;39652
2022-02-07;MA055;746
2022-02-07;MA056;48754
2022-02-07;MA057;15336
2022-02-07;MA058;26426
2022-02-07;MA059;39170
2022-02-07;MA061;38038
2022-02-07;MA062;24736
2022-02-07;MA063;25570
2022-02-07;MA064;17087
2022-02-07;MA065;20630
2022-02-07;MA066;30855
2022-02-07;MA067;16290
2022-02-07;MA068;13131
2022-02-07;MA069;47016
2022-02-07;MA070;37180
2022-02-07;MA071;42993
2022-02-07;MA072;22436
2022-02-07;MA073;651
2022-02-07;MA076;28328
2022-02-07;MA077;44319
2022-02-07;MA078;22871
2022-02-08;MA002;7600
2022-02-08;MA004;9501
2022-02-08;MA005;15770
2022-02-08;MA007;42644
2022-02-08;MA009;41336
2022-02-08;MA010;33780
2022-02-08;MA011;33701
2022-02-08;MA014;27519
2022-02-08;MA015;5515
2022-02-08;MA017;43896
2022-02-08;MA019;136
2022-02-08;MA020;3749
2022-02-08;MA021;6893
2022-02-08;MA022;14964
2022-02-08;MA025;39151
2022-02-08;MA026;3135
2022-02-08;MA029;46075
2022-02-08;MA030;47514
2022-02-08;MA031;8745
2022-02-08;MA032;33269
2022-02-08;MA033;40869
2022-02-08;MA037;28621
2022-02-08;MA039;14436
2022-02-08;MA040;2772
2022-02-08;MA041;28298
2022-02-08;MA042;3546
2022-02-08;MA043;16902
2022-02-08;MA044;19945
2022-02-08;MA045;41562
2022-02-08;MA046;2333
2022-02-08;MA047;4447
2022-02-08;MA048;613
2022-02-08;MA049;25980
2022-02-08;MA050;36802
2022-02-08;MA051;23766
2022-02-08;MA052;18365
2022-02-08;MA053;41364
2022-02-08;MA054;13576
2022-02-08;MA055;34646
2022-02-08;MA056;27095
2022-02-08;MA057;20874
2022-02-08;MA058;3682
2022-02-08;MA059;42883
2022-02-08;MA061;25967
2022-02-08;MA062;10893
2022-02-08;MA063;6011
2022-02-08;MA064;21819
2022-02-08;MA065;40819
2022-02-08;MA066;6174
2022-02-08;MA067;40568
2022-02-08;MA068;43342
2022-02-08;MA069;15679
2022-02-08;MA070;14028
2022-02-08;MA071;39555
2022-02-08;MA072;23572
2022-02-08;MA073;16204
2022-02-08;MA076;7405
2022-02-08;MA077;48461
2022-02-08;MA078;25825
2022-02-09;MA002;28282
2022-02-09;MA004;23642
2022-02-09;MA005;12369
2022-02-09;MA007;44117
2022-02-09;MA009;28832
2022-02-09;MA010;37707
2022-02-09;MA011;21588
2022-02-09;MA014;9644
2022-02-09;MA015;23721
2022-02-09;MA017;9270
2022-02-09;MA019;29186
2022-02-09;MA020;13584
2022-02-09;MA021;40537
2022-02-09;MA022;46592
2022-02-09;MA025;40860
2022-02-09;MA026;14026
2022-02-09;MA029;37364
2022-02-09;MA030;24519
2022-02-09;MA031;35129
2022-02-09;MA032;4412
2022-02-09;MA033;43964
2022-02-09;MA037;48399
2022-02-09;MA039;48196
2022-02-09;MA040;44613
2022-02-09;MA041;21197
2022-02-09;MA042;48854
2022-02-09;MA043;4905
2022-02-09;MA044;45999
2022-02-09;MA045;14060
2022-02-09;MA046;2195
2022-02-09;MA047;29146
2022-02-09;MA048;42618
2022-02-09;MA049;127
2022-02-09;MA050;2074
2022-02-09;MA051;25914
2022-02-09;MA052;6011
2022-02-09;MA053;28194
2022-02-09;MA054;8164
2022-02-09;MA055;24840
2022-02-09;MA056;49628
2022-02-09;MA057;3824
2022-02-09;MA058;31009
2022-02-09;MA059;26266
2022-02-09;MA061;10810
2022-02-09;MA062;29554
2022-02-09;MA063;47488
2022-02-09;MA064;44790
2022-02-09;MA065;43018
2022-02-09;MA066;27715
2022-02-09;MA067;10127
2022-02-09;MA068;9038
2022-02-09;MA069;41095
2022-02-09;MA070;10525
2022-02-09;MA071;13992
2022-02-09;MA072;17692
2022-02-09;MA073;13067
2022-02-09;MA076;40670
2022-02-09;MA077;14737
2022-02-09;MA078;32742
2022-02-10;MA002;23548
2022-02-10;MA004;44701
2022-02-10;MA005;37903
2022-02-10;MA007;8788
2022-02-10;MA009;40417
2022-02-10;MA010;10816
2022-02-10;MA011;43618
2022-02-10;MA014;39275
2022-02-10;MA015;6591
2022-02-10;MA017;36977
2022-02-10;MA019;21946
2022-02-10;MA020;26668
2022-02-10;MA021;15235
2022-02-10;MA022;1301
2022-02-10;MA025;12105
2022-02-10;MA026;47282
2022-02-10;MA029;7360
2022-02-10;MA030;27515
2022-02-10;MA031;9300
2022-02-10;MA032;21732
2022-02-10;MA033;28336
2022-02-10;MA037;44042
2022-02-10;MA039;39454
2022-02-10;MA040;41522
2022-02-10;MA041;26506
2022-02-10;MA042;27527
2022-02-10;MA043;37960
2022-02-10;MA044;1717
2022-02-10;MA045;43512
2022-02-10;MA046;3547
2022-02-10;MA047;37387
2022-02-10;MA048;49491
2022-02-10;MA049;13940
2022-02-10;MA050;36667
2022-02-10;MA051;41943
2022-02-10;MA052;44959
2022-02-10;MA053;4587
2022-02-10;MA054;43008
2022-02-10;MA055;4382
2022-02-10;MA056;6811
2022-02-10;MA057;6704
2022-02-10;MA058;26830
2022-02-10;MA059;42312
2022-02-10;MA061;42713
2022-02-10;MA062;29755
2022-02-10;MA063;13470
2022-02-10;MA064;47490
2022-02-10;MA065;3544
2022-02-10;MA066;3850
2022-02-10;MA067;16338
2022-02-10;MA068;36429
2022-02-10;MA069;16445
2022-02-10;MA070;37044
2022-02-10;MA071;19825
2022-02-10;MA072;34314
2022-02-10;MA073;6477
2022-02-10;MA076;43504
2022-02-10;MA077;28172
2022-02-10;MA078;48384
2022-02-11;MA002;21201
2022-02-11;MA004;19260
2022-02-11;MA005;42920
2022-02-11;MA007;16756
2022-02-11;MA009;40292
2022-02-11;MA010;36547
2022-02-11;MA011;43581
2022-02-11;MA014;16908
2022-02-11;MA015;1406
2022-02-11;MA017;18585
2022-02-11;MA019;37556
2022-02-11;MA020;19979
2022-02-11;MA021;32004
2022-02-11;MA022;40782
2022-02-11;MA025;4982
2022-02-11;MA026;26001
2022-02-11;MA029;47092
2022-02-11;MA030;12265
2022-02-11;MA031;14344
2022-02-11;MA032;13407
2022-02-11;MA033;18045
2022-02-11;MA037;3348
2022-02-11;MA039;47288
2022-02-11;MA040;18522
2022-02-11;MA041;27018
2022-02-11;MA042;7965
2022-02-11;MA043;47090
2022-02-11;MA044;7028
2022-02-11;MA045;10817
2022-02-11;MA046;5210
2022-02-11;MA047;21266
2022-02-11;MA048;46449
2022-02-11;MA049;37993
2022-02-11;MA050;17877
2022-02-11;MA051;29918
2022-02-11;MA052;28804
2022-02-11;MA053;18978
2022-02-11;MA054;309
2022-02-11;MA055;34255
2022-02-11;MA056;27332
2022-02-11;MA057;11591
2022-02-11;MA058;34717
2022-02-11;MA059;28721
2022-02-11;MA061;8244
2022-02-11;MA062;19757
2022-02-11;MA063;17645
2022-02-11;MA064;9983
2022-02-11;MA065;11624
2022-02-11;MA066;417
2022-02-11;MA067;7064
2022-02-11;MA068;3009
2022-02-11;MA069;9311
2022-02-11;MA070;29489
2022-02-11;MA071;43817
2022-02-11;MA072;41358
2022-02-11;MA073;28403
2022-02-11;MA076;45843
2022-02-11;MA077;6674
2022-02-11;MA078;43310
2022-02-12;MA002;45753
2022-02-12;MA004;2074
2022-02-12;MA005;28297
2022-02-12;MA007;22928
2022-02-12;MA009;26985
2022-02-12;MA010;18340
2022-02-12;MA011;49086
2022-02-12;MA014;47745
2022-02-12;MA015;46291
2022-02-12;MA017;34523
2022-02-12;MA019;28031
2022-02-12;MA020;9627
2022-02-12;MA021;44940
2022-02-12;MA022;6008
2022-02-12;MA025;27552
2022-02-12;MA026;37738
2022-02-12;MA029;1140
2022-02-12;MA030;4056
2022-02-12;MA031;27486
2022-02-12;MA032;12917
2022-02-12;MA033;21150
2022-02-12;MA037;8560
2022-02-12;MA039;6301
2022-02-12;MA040;3762
2022-02-12;MA041;30493
2022-02-12;MA042;36594
2022-02-12;MA043;30720
2022-02-12;MA044;39110
2022-02-12;MA045;9096
2022-02-12;MA046;18844
2022-02-12;MA047;18337
2022-02-12;MA048;2479
2022-02-12;MA049;18211
2022-02-12;MA050;32496
2022-02-12;MA051;28382
2022-02-12;MA052;13081
2022-02-12;MA053;33460
2022-02-12;MA054;21889
2022-02-12;MA055;42768
2022-02-12;MA056;20316
2022-02-12;MA057;8865
2022-02-12;MA058;38588
2022-02-12;MA059;44008
2022-02-12;MA061;7212
2022-02-12;MA062;17274
2022-02-12;MA063;10090
2022-02-12;MA064;47106
2022-02-12;MA065;45390
2022-02-12;MA066;18607
2022-02-12;MA067;45290
2022-02-12;MA068;9769
2022-02-12;MA069;43447
2022-02-12;MA070;30707
2022-02-12;MA071;48450
2022-02-12;MA072;46060
2022-02-12;MA073;48099
2022-02-12;MA076;32832
2022-02-12;MA077;17895
2022-02-12;MA078;11600
2022-02-13;MA002;14229
2022-02-13;MA004;42852
2022-02-13;MA005;29677
2022-02-13;MA007;40730
2022-02-13;MA009;45366
2022-02-13;MA010;16946
2022-02-13;MA011;47708
2022-02-13;MA014;43300
2022-02-13;MA015;4566
2022-02-13;MA017;30244
2022-02-13;MA019;35438
2022-02-13;MA020;46912
2022-02-13;MA021;24272
2022-02-13;MA022;16921
2022-02-13;MA025;44834
2022-02-13;MA026;20270
2022-02-13;MA029;4681
2022-02-13;MA030;819
2022-02-13;MA031;21302
2022-02-13;MA032;14428
2022-02-13;MA033;1230
2022-02-13;MA037;13912
2022-02-13;MA039;48296
2022-02-13;MA040;34755
2022-02-13;MA041;26624
2022-02-13;MA042;49032
2022-02-13;MA043;38936
2022-02-13;MA044;27055
2022-02-13;MA045;7728
2022-02-13;MA046;25623
2022-02-13;MA047;20537
2022-02-13;MA048;23617
2022-02-13;MA049;7213
2022-02-13;MA050;14498
2022-02-13;MA051;19027
2022-02-13;MA052;14734
2022-02-13;MA053;18966
2022-02-13;MA054;31605
2022-02-13;MA055;46850
2022-02-13;MA056;40330
2022-02-13;MA057;4125
2022-02-13;MA058;15659
2022-02-13;MA059;46993
2022-02-13;MA061;45300
2022-02-13;MA062;30189
2022-02-13;MA063;47190
2022-02-13;MA064;17685
2022-02-13;MA065;23912
2022-02-13;MA066;41169
2022-02-13;MA067;34990
2022-02-13;MA068;38707
2022-02-13;MA069;45694
2022-02-13;MA070;29914
2022-02-13;MA071;11357
2022-02-13;MA072;17565
2022-02-13;MA073;2662
2022-02-13;MA076;41779
2022-02-13;MA077;28213
2022-02-13;MA078;9302
2022-02-14;MA002;42452
2022-02-14;MA004;17223
2022-02-14;MA005;33301
2022-02-14;MA007;30100
2022-02-14;MA009;6936
2022-02-14;MA010;4443
2022-02-14;MA011;43870
2022-02-14;MA014;8587
2022-02-14;MA015;7850
2022-02-14;MA017;48186
2022-02-14;MA019;10057
2022-02-14;MA020;9295
2022-02-14;MA021;48247
2022-02-14;MA022;1509
2022-02-14;MA025;45950
2022-02-14;MA026;35104
2022-02-14;MA029;43029
2022-02-14;MA030;11260
2022-02-14;MA031;35130
2022-02-14;MA032;41620
2022-02-14;MA033;8140
2022-02-14;MA037;4011
2022-02-14;MA039;9245
2022-02-14;MA040;20691
2022-02-14;MA041;17419
2022-02-14;MA042;48448
2022-02-14;MA043;7352
2022-02-14;MA044;48560
2022-02-14;MA045;11589
2022-02-14;MA046;43194
2022-02-14;MA047;34716
2022-02-14;MA048;36877
2022-02-14;MA049;24730
2022-02-14;MA050;47821
2022-02-14;MA051;11027
2022-02-14;MA052;19845
2022-02-14;MA053;30934
2022-02-14;MA054;45346
2022-02-14;MA055;45960
2022-02-14;MA056;49373
2022-02-14;MA057;26003
2022-02-14;MA058;45787
2022-02-14;MA059;26376
2022-02-14;MA061;47618
2022-02-14;MA062;43532
2022-02-14;MA063;20179
2022-02-14;MA064;20544
2022-02-14;MA065;26574
2022-02-14;MA066;10903
2022-02-14;MA067;11397
2022-02-14;MA068;1397
2022-02-14;MA069;29475
2022-02-14;MA070;42579
2022-02-14;MA071;16535
2022-02-14;MA072;40446
2022-02-14;MA073;2651
2022-02-14;MA076;48107
2022-02-14;MA077;49219
2022-02-14;MA078;750
2022-02-15;MA002;26967
2022-02-15;MA004;9121
2022-02-15;MA005;34806
2022-02-15;MA007;18659
2022-02-15;MA009;13003
2022-02-15;MA010;18315
2022-02-15;MA011;19448
2022-02-15;MA014;30786
2022-02-15;MA015;19847
2022-02-15;MA017;43497
2022-02-15;MA019;38976
2022-02-15;MA020;44946
2022-02-15;MA021;8785
2022-02-15;MA022;40657
2022-02-15;MA025;19793
2022-02-15;MA026;40344
2022-02-15;MA029;11709
2022-02-15;MA030;22313
2022-02-15;MA031;6206
2022-02-15;MA032;35952
2022-02-15;MA033;12321
2022-02-15;MA037;27371
2022-02-15;MA039;691
2022-02-15;MA040;33090
2022-02-15;MA041;39662
2022-02-15;MA042;47321
2022-02-15;MA043;28897
2022-02-15;MA044;39258
2022-02-15;MA045;28325
2022-02-15;MA046;7871
2022-02-15;MA047;18899
2022-02-15;MA048;13382
2022-02-15;MA049;25122
2022-02-15;MA050;36655
2022-02-15;MA051;12484
2022-02-15;MA052;37249
2022-02-15;MA053;37738
2022-02-15;MA054;48289
2022-02-15;MA055;10166
2022-02-15;MA056;2740
2022-02-15;MA057;20569
2022-02-15;MA058;48003
2022-02-15;MA059;37829
2022-02-15;MA061;40814
2022-02-15;MA062;13780
2022-02-15;MA063;37431
2022-02-15;MA064;30182
2022-02-15;MA065;44710
2022-02-15;MA066;26263
2022-02-15;MA067;21423
2022-02-15;MA068;36745
2022-02-15;MA069;39078
2022-02-15;MA070;27425
2022-02-15;MA071;191
2022-02-15;MA072;39082
2022-02-15;MA073;45635
2022-02-15;MA076;13628
2022-02-15;MA077;23288
2022-02-15;MA078;14102
2022-02-16;MA002;6924
2022-02-16;MA004;45260
2022-02-16;MA005;7288
2022-02-16;MA007;49406
2022-02-16;MA009;49758
2022-02-16;MA010;8047
2022-02-16;MA011;9383
2022-02-16;MA014;36495
2022-02-16;MA015;40374
2022-02-16;MA017;25780
2022-02-16;MA019;46822
2022-02-16;MA020;46935
2022-02-16;MA021;26322
2022-02-16;MA022;7661
2022-02-16;MA025;44920
2022-02-16;MA026;49489
2022-02-16;MA029;12954
2022-02-16;MA030;1131
2022-02-16;MA031;24048
2022-02-16;MA032;33016
2022-02-16;MA033;14378
2022-02-16;MA037;27466
2022-02-16;MA039;35349
2022-02-16;MA040;7015
2022-02-16;MA041;41931
2022-02-16;MA042;16198
2022-02-16;MA043;45952
2022-02-16;MA044;48158
2022-02-16;MA045;9429
2022-02-16;MA046;46694
2022-02-16;MA047;34329
2022-02-16;MA048;5638
2022-02-16;MA049;2660
2022-02-16;MA050;47175
2022-02-16;MA051;15538
2022-02-16;MA052;32077
2022-02-16;MA053;9069
2022-02-16;MA054;33067
2022-02-16;MA055;34131
2022-02-16;MA056;31056
2022-02-16;MA057;45088
2022-02-16;MA058;8825
2022-02-16;MA059;22327
2022-02-16;MA061;2013
2022-02-16;MA062;4704
2022-02-16;MA063;3450
2022-02-16;MA064;30123
2022-02-16;MA065;9793
2022-02-16;MA066;22767
2022-02-16;MA067;24135
2022-02-16;MA068;7529
2022-02-16;MA069;49545
2022-02-16;MA070;9365
2022-02-16;MA071;649
2022-02-16;MA072;40216
2022-02-16;MA073;8619
2022-02-16;MA076;2608
2022-02-16;MA077;7884
2022-02-16;MA078;21996
2022-02-17;MA002;23336
2022-02-17;MA004;12069
2022-02-17;MA005;2974
2022-02-17;MA007;6652
2022-02-17;MA009;20208
2022-02-17;MA010;9759
2022-02-17;MA011;45729
2022-02-17;MA014;41438
2022-02-17;MA015;2653
2022-02-17;MA017;15561
2022-02-17;MA019;18183
2022-02-17;MA020;35627
2022-02-17;MA021;6743
2022-02-17;MA022;2383
2022-02-17;MA025;26240
2022-02-17;MA026;7027
2022-02-17;MA029;14737
2022-02-17;MA030;23929
2022-02-17;MA031;3623
2022-02-17;MA032;3878
2022-02-17;MA033;13025
2022-02-17;MA037;39908
2022-02-17;MA039;32131
2022-02-17;MA040;27111
2022-02-17;MA041;1254
2022-02-17;MA042;13404
2022-02-17;MA043;614
2022-02-17;MA044;46972
2022-02-17;MA045;17530
2022-02-17;MA046;47622
2022-02-17;MA047;48243
2022-02-17;MA048;46173
2022-02-17;MA049;28030
2022-02-17;MA050;45770
2022-02-17;MA051;32577
2022-02-17;MA052;36635
2022-02-17;MA053;32198
2022-02-17;MA054;7958
2022-02-17;MA055;732
2022-02-17;MA056;24704
2022-02-17;MA057;37165
2022-02-17;MA058;35512
2022-02-17;MA059;19697
2022-02-17;MA061;20005
2022-02-17;MA062;42658
2022-02-17;MA063;5050
2022-02-17;MA064;31888
2022-02-17;MA065;16826
2022-02-17;MA066;2464
2022-02-17;MA067;32139
2022-02-17;MA068;39617
2022-02-17;MA069;34832
2022-02-17;MA070;32817
2022-02-17;MA071;40373
2022-02-17;MA072;36325
2022-02-17;MA073;30094
